"Index","ASX_200_A_REIT","ASX_200_BANKS","China_25","CSI300","DJ_Ind_Av","DJ_UBS_Commodity_GBP","DJStoxx50","DS_PrivateEquity_GBP","E_ARS","E_AUD","E_AUD_M","E_AUD_S","E_AUT","E_BEF","E_BRL","E_CAD","E_CAD_M","E_CAD_S","E_CHF","E_CNY","E_CZK","E_DEM","E_DEM_M","E_DEM_S","E_DKK","E_DKK_MS","E_ESP","E_ESP_M","E_EUR_BasicMats","E_EUR_ConsumerGoods","E_EUR_ConsumerServices","E_EUR_Financials","E_EUR_HealthCare","E_EUR_Industrials","E_EUR_M","E_EUR_OilGas","E_EUR_S","E_EUR_Technology","E_EUR_Telecom","E_EUR_Utilities","E_FKK","E_FRA","E_FRA_M","E_GBP","E_GBP_S","E_GRD","E_HKD","E_HUF","E_IDR","E_ILS","E_INR","E_IRE","E_ITL","E_JPY","E_JPY_S_SNP","E_KRW","E_MXN","E_MYR","E_NOK","E_NTH","E_NTH_M","E_NZD","E_PHP","E_PLN","E_PTE","E_RUB","E_SEK","E_SEK_S","E_SGD","E_SKK","E_THB","E_TRY","E_TWD","E_USD","E_USD_BasicMats","E_USD_ConsumerGoods","E_USD_ConsumerServices","E_USD_Financials","E_USD_HealthCare","E_USD_Industrials","E_USD_L","E_USD_OilGas","E_USD_S","E_USD_Technology","E_USD_Telecom","E_USD_Utilities","E_ZAR","E_ZAR_S","EAFE_GBP","EAFE_S_USD","EAFE_USD","EUR_BankLoans","Euro_HY_TR","EURSTOXX50","FTSE_NAREIT_Global_AUD","FTSE100","FTSE250","FTSE350_HY","Global_Bonds_USD","Global_Infra_World_DS_USD","Global_Infra_World_FTSE_USD","HEX25","HFRI_ED_Distressed","HFRI_ED_MA","HFRI_EH_EQMN","HFRI_EH_QuantDirectional","HFRI_EH_SB","HFRI_EH_Sector_Energy_BasicMat","HFRI_EH_Sector_Tech_Health","HFRI_EM","HFRI_EM_AsiaExJapan","HFRI_EM_Global","HFRI_EM_LatinAmerica","HFRI_EM_Russia_E_Europe","HFRI_EquityHedge","HFRI_EventDriven","HFRI_FoF_Composite","HFRI_FoF_Conservative","HFRI_FoF_Diversified","HFRI_FoF_Mkt_Defensive","HFRI_FoF_Strategic","HFRI_FWHF","HFRI_Macro","HFRI_Macro_Syst_Div","HFRI_RelativeValue","HFRI_RV_ConvArb","HFRI_RV_Corporate","HFRI_RV_Fixed_Inc_AB","HFRI_RV_MultiStrat","HFRI_RV_YA","HFRI_WC_GBP","HFRX_AbsoluteReturn","HFRX_FI_AB","HFRX_FI_Corporate","HFRX_FI_Credit_USD","HFRX_FI_Sovereign","HFRX_Global_HF","HFRX_Macro_Commodity","HFRX_Macro_CTA","HFRX_Macro_Currency","HFRX_Macro_MultiStrat","HFRX_Volatility","Infrastructure","JSE_AllShare","JSE_Prop","MSCI_AC_AsiaExJap_USD","MSCI_AC_WRLD_S_USD","MSCI_AC_WRLDExAU_AUD","MSCI_AC_WRLDExAU_LOC","MSCI_AC_WRLDexUS_S_USD","MSCI_AC_WRLDExUS_USD","MSCI_AsiaPacExJap_EUR","MSCI_AsiaPacExJap_GBP","MSCI_AsiaPacExJap_USD","MSCI_EFM_AfricaExZA_USD","MSCI_EM_EUR","MSCI_EM_GBP","MSCI_EM_GBP_Hedged","MSCI_EM_NOK","MSCI_EM_USD","MSCI_EM_USD_Hedged","MSCI_EM_ZAR","MSCI_EUROPE_EUR","MSCI_Frontier_EUR","MSCI_PacificExJapan_EUR","MSCI_WRLD_EUR","MSCI_WRLD_GBP","MSCI_WRLD_Hedged","MSCI_WRLD_HighYield_EUR","MSCI_WRLD_HighYield_GBP","MSCI_WRLD_HighYield_USD","MSCI_WRLD_INFRA_AUD","MSCI_WRLD_LOC","MSCI_WRLD_NOK","MSCI_WRLD_NZD","MSCI_WRLD_S_USD","MSCI_WRLD_USD","MSCI_WRLD_USD_Hedged","MSCI_WRLD_ZAR","MSCI_WRLDExAU_AUD","MSCI_WRLDexAUD_LOC","MSCI_WRLDexUK_USD","NDX","Newedge_CTA","NKY225","RUT","RUT_1000","SP_Global_Infra_USD","SP_Global_Property_USD","SP_ListedPrivateEquity_USD","SP_MID","SP100","Timber","TOPIX","USD_BankLoans"
1953-07-31,null,null,null,null,169.6488079527,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1953-08-31,null,null,null,null,160.9254906435,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1953-09-30,null,null,null,null,162.6627614636,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1953-10-30,null,null,null,null,169.9137109501,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1953-11-30,null,null,null,null,173.3389683116,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1953-12-31,null,null,null,null,173.0494231749,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1954-01-29,null,null,null,null,180.1278776864,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1954-02-26,null,null,null,null,181.4523926734,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1954-03-31,null,null,null,null,186.9783924095,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1954-04-30,null,null,null,null,196.7243584993,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1954-05-31,null,null,null,null,201.7513549148,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1954-06-30,null,null,null,null,205.4723179478,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1954-07-30,null,null,null,null,214.337327558,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1954-08-31,null,null,null,null,206.8707593526,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
